image_id	run_id	timestamp	frame	lifter	gain	measurementlabel	cartag	id	exposure	zoom	plantbarcode	camera	treatment	imgtype	other	image	image_id	area	hull-area	solidity	perimeter	width	height	longest_axis	center-of-mass-x	center-of-mass-y	hull_vertices	in_bounds	ellipse_center_x	ellipse_center_y	ellipse_major_axis	ellipse_minor_axis	ellipse_angle	ellipse_eccentricity	y-position	height_above_bound	height_below_bound	above_bound_area	percent_above_bound_area	below_bound_area	percent_below_bound_area	marker_area	marker_major_axis_length	marker_minor_axis_length	marker_eccentricity	estimated_object_count	tip_points	tip_points_r	centroid_r	baseline_r	tip_number	vert_ave_c	hori_ave_c	euc_ave_c	ang_ave_c	vert_ave_b	hori_ave_b	euc_ave_b	ang_ave_b	left_lmk	right_lmk	center_h_lmk	left_lmk_r	right_lmk_r	center_h_lmk_r	top_lmk	bottom_lmk	center_v_lmk	top_lmk_r	bottom_lmk_r	center_v_lmk_r
28	1	2013-12-17 05:46:41.971	180	none	none	B2_120513	1205	352967	none	z500	Dp2AC000146	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59320/VIS_SV_180_z500_352967.png	28	39696.0	170109.5	0.23335557391	5769.84389675	422	619	617	1268.33444176	1455.12918178	16	True	1267.38708496	1450.62524414	505.091339111	319.561218262	18.133972168	0.774413289441	320	619	0	39696	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	1	2013-12-28 16:29:41.212	270	none	none	B2_120513	2119	387124	none	z500	Dp1AE000086	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72644/VIS_SV_270_z500_387124.png	29	230819.0	854521.0	0.270115070314	24410.0845022	1017	1191	1155	1209.31908118	1269.71593326	24	True	1220.34399414	1239.66430664	906.088378906	765.721252441	173.021286011	0.534632746205	320	1096	95	229866	99.5871223773	953	0.412877622726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	1	2013-12-29 10:05:18.494	0	none	none	B2_120513	1275	388246	none	z500	Dp1AA000019	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73148/VIS_SV_0_z500_388246.png	30	310560.0	1478838.0	0.21000271835	34418.0256793	1358	1665	1661	1199.93588357	1221.99810021	18	True	1214.76855469	1162.61816406	1333.30749512	925.514099121	154.303466797	0.719831320293	320	1545	120	306460	98.6798042246	4100	1.32019577537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	1	2013-12-17 05:26:19.096	180	none	none	B2_120513	1441	352786	none	z500	Dp1AC000046	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59305/VIS_SV_180_z500_352786.png	31	41543.0	230079.5	0.180559328406	6427.43008268	613	525	470	1380.97739691	1540.05786775	19	True	1412.43896484	1528.02380371	547.225219727	400.002838135	98.776184082	0.682414257851	320	479	46	41052	98.8180920973	491	1.18190790266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	1	2013-12-28 15:53:49.353	0	none	none	B2_120513	2092	386902	none	z500	Dp1AE000081	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72626/VIS_SV_0_z500_386902.png	32	266637.0	970216.0	0.27482230761	27694.4046838	1226	1146	1224	1309.95254972	1267.64080004	18	True	1344.5234375	1262.03649902	974.997619629	829.879638672	133.82522583	0.524905223603	320	1111	35	266001	99.7614734639	636	0.238526536077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	1	2013-12-28 11:06:13.431	180	none	none	B2_120513	1045	386114	none	z500	Dp1AA01027	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72149/VIS_SV_180_z500_386114.png	33	247099.0	1260956.5	0.195961557754	30653.2259185	1215	1607	1574	1227.10342009	1235.61782524	20	True	1199.81945801	1119.7824707	1279.52722168	861.750732422	2.88517189026	0.73919494961	320	1553	54	245696	99.4322113809	1403	0.567788619136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34	1	2013-12-29 16:20:25.275	180	none	none	B2_120513	1348	389534	none	z500	Dp2AA01117	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73666/VIS_SV_180_z500_389534.png	34	281216.0	1277019.0	0.220212855095	23406.1707636	1095	1547	1542	1288.96116508	1124.53594746	24	True	1289.29138184	1025.56835938	1257.08374023	837.827575684	10.5050497055	0.745518355584	320	1547	0	281216	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
35	1	2013-12-17 16:38:32.096	90	none	none	B2_120513	1674	356550	none	z500	Dp1AD000073	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot60165/VIS_SV_90_z500_356550.png	35	23963.0	102396.5	0.234021670663	4592.93308806	538	372	496	1276.65576096	1555.16504611	13	True	1293.63134766	1539.89111328	425.094360352	245.773757935	62.0176887512	0.815921407531	320	372	0	23963	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
36	1	2013-12-17 07:21:23.315	90	none	none	B2_120513	1538	353864	none	z500	Dp2AA01103	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59395/VIS_SV_90_z500_353864.png	36	69069.0	283130.5	0.243947578943	6971.21071589	662	649	641	1231.61261926	1455.87121574	15	True	1217.11462402	1445.3581543	574.344604492	447.848754883	129.333770752	0.626083300794	320	649	0	69069	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	1	2013-12-28 15:06:32.337	270	none	none	B2_120513	1204	386596	none	z500	Dp2AA01118	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72600/VIS_SV_270_z500_386596.png	37	191327.0	619470.5	0.308855708222	12432.9594454	592	1462	1443	1191.71571707	1094.18919964	18	True	1193.91137695	1031.74182129	1329.48852539	442.220336914	179.207565308	0.943059383917	320	1462	0	191327	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	1	2013-12-29 06:01:02.04	270	none	none	B2_120513	1280	387388	none	z500	Dp1AA01017	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73077/VIS_SV_270_z500_387388.png	38	279234.0	1122503.0	0.248760136944	23469.5831356	952	1845	1772	1239.01250922	1196.590913	17	True	1245.37585449	1087.11669922	1568.32666016	685.156616211	166.375640869	0.899524112603	320	1705	140	274707	98.3787790885	4527	1.62122091149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	1	2013-12-17 10:57:35.908	0	none	none	B2_120513	2127	355032	none	z500	Dp1AA000017	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59490/VIS_SV_0_z500_355032.png	39	72035.0	458810.5	0.15700381748	11807.4016148	1068	503	911	1342.92954814	1532.04414521	20	True	1429.5526123	1485.05090332	1062.17895508	409.202850342	84.3949661255	0.922812869655	320	503	0	72035	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	1	2013-12-17 05:49:07.518	270	none	none	B2_120513	1256	352992	none	z500	Dp2AE000183	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot59322/VIS_SV_270_z500_352992.png	40	21736.0	102111.0	0.212866390497	2833.09370005	417	375	412	1257.80760029	1513.60227273	14	True	1254.25	1524.67822266	381.635314941	293.779754639	69.0208816528	0.63829500201	320	375	0	21736	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	1	2013-12-29 07:18:13.009	0	none	none	B2_120513	1838	387850	none	z500	Dp1AA000001	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot73116/VIS_SV_0_z500_387850.png	41	305779.0	1416054.0	0.215937386569	33943.2774038	1170	1783	1774	1213.2333777	1148.17015557	20	True	1229.77819824	1081.93041992	1403.86254883	869.020629883	169.825546265	0.785374304268	320	1733	50	304599	99.6141003797	1180	0.385899620314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1	2013-12-28 14:26:16.29	0	none	none	B2_120513	1596	386350	none	z500	Dp2AA000109	SV	none	VIS	none	/shares/jcarrington_share/nfahlgren/projects/lemnatec/burnin2/images3/snapshot72580/VIS_SV_0_z500_386350.png	42	199166.0	886394.0	0.224692405409	16809.7881656	1178	987	875	1215.53076328	1283.98953135	26	True	1200.34387207	1160.50952148	948.534423828	890.266906738	165.573562622	0.345086177615	320	987	0	199166	100.0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
